题目,A,B,C,D,正确答案,解析连接,图片名称,,,,,,,,,,,,
化学与生活、社会发展息息相关，下列有关说法错误的是（ ）,“时气错逆，霾雾蔽日”，雾所形成的气溶胶能产生丁达尔效应,“青蒿一握，以水二升渍，绞取汁”；屠呦呦改进提取青蒿素的这种方法，提取过程中发生了化学变化,《中国诗词大会》不仅弘扬了中国传统文化，还蕴含着许多化学知识。例如刘禹锡诗句“千淘万漉虽辛苦，吹尽狂沙始到金”可以看出金性质稳定，可通过物理方法得到,“外观如雪，强烧之，紫青烟起”。南北朝陶弘景对硝酸钾的鉴定过程中利用了焰色反应,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/9694c2135dc47eaf5ce4dd2952db_14518999ex.png,eaf5ce4dd2952db_14518999ex.png,,,,,,,,,,,,
下列说法错误的是（ ）,CO<sub>2</sub>溶于水的过程中既有共价键的断裂，也有共价键的生成,在SF<sub>2</sub>、PCl<sub>5</sub>、CCl<sub>4</sub>的分子中，所有原子均达到了8电子稳定结构,H<sub>2</sub>NCH<sub>2</sub>COOH和CH<sub>3</sub>CH<sub>2</sub>NO<sub>2</sub>熔化时克服的微粒间作用力不同，导致熔点相差较大,N<sub>2</sub>比O<sub>2</sub>分子稳定，与分子间作用力无关,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/30c3a51ba73e4d56da9586948833_14519005ex.png,d56da9586948833_14519005ex.png,,,,,,,,,,,,
短周期元素X、Y、Z、W、Q在元素周期表的位置如表所示，其中X元素的原子内层电子数是最外层电子数的一半，则下列说法正确的是（ ）XYZWQ,钠与Y可能形成Na<sub>2</sub>Y<sub>2</sub>化合物,由Z与Y组成的物质在熔融时能导电,单质的沸点：W＜Q,X有多种同素异形体，而Y不存在同素异形体,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/947c1dcf64904a5716da8dc790ad_4295522ex.png,4a5716da8dc790ad_4295522ex.png,,,,,,,,,,,,
化学与生活、生产和社会可持续发展密切相关。下列说法正确的是（）,高纯二氧化硅可用作计算机芯片的材料,硅胶、铁粉均可作为食品包装中的抗氧化剂,氯化铝是工业上电解法治炼金属铝的原料,“地沟油”可用来制肥皂和生物柴油,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a4462e62c61b11277a8e9321a42e_10752615ex.png,1277a8e9321a42e_10752615ex.png,,,,,,,,,,,,
下列说法中正确的是（ ）,HF、HCl、H<sub>2</sub>S、PH<sub>3</sub>的稳定性依次增强,按Mg、Si、N、F的顺序，原子半径由小变大,某主族元素的电离能I<sub>1</sub>～I<sub>7</sub>数据如下表所示(单位：kJ/mol)，可推测该元素位于元素周期表第ⅤA族   <img height="64" src="/files/attach/files/content/2020/0325/87b1a6ef44f0dffe1cc87f1e6ddb8ad5.png" v:shapes="图片_x0020_1752953784" width="409",在①P、S，②Mg、Ca，③Al、Si三组元素中，每组中第一电离能较大的元素的原子序数之和为41,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/db5ecac21b3667d43f56149cf839_11854128ex.png,7d43f56149cf839_11854128ex.png,,,,,,,,,,,,
同周期有下列电子排布式的原子中，第一电离能最小的是（ ）,ns<sup>2</sup>np<sup>3</su,ns<sup>2</sup>np<sup>4</su,ns<sup>2</sup>np<sup>5</su,ns<sup>2</sup>np<sup>6</su,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/49e6519253ba6066b8862b56f55e_13599844ex.png,066b8862b56f55e_13599844ex.png,,,,,,,,,,,,
a、b、c、d为短周期元素，a的最外层电子数为内层电子数的2倍，b的最高化合价为最低化合价绝对值的3倍，b与c同周期，c的原子半径小于b，d的M电子层有1个电子，下列叙述错误的是（ ）,c元素的非金属性最强,它们均存在两种或两种以上的氧化物,只有d与其他元素生成的化合物都是离子化合物,a、b、c与氢形成的化合物中化学键均为极性共价键,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/35b05fecd907147ae1ce3e64f8c9_4295520ex.png,147ae1ce3e64f8c9_4295520ex.png,,,,,,,,,,,,
已知aAn﹣、bBm﹣、cCm+、dDn+四种离子具有相同的核外电子排布，且n＞m，则下列关系中正确的是（ ）,得电子能力：A＞B＞C<sup>m+</sup>＞D<sup>n+</su,还原性：A<sup>n</sup><sup>﹣</sup>＞B<sup>m</sup><sup>﹣</sup>＞C＞D,原子半径：D＞C＞B＞A,离子半径：A<sup>n</sup><sup>﹣</sup>＞B<sup>m</sup><sup>﹣</sup>＞C<sup>m+</sup>＞D<sup>n+</su,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c426c22f7f97cd092044467bda88_4295846ex.png,cd092044467bda88_4295846ex.png,,,,,,,,,,,,
2016年IUPAC命名117号元素为Ts（中文名“  ”，tián），Ts的原子核外最外层电子数是7，下列说法不正确的是（　　）,Ts是第七周期第ⅦA族元素,Ts<sub></sub>的同位素原子具有相同的电子数,Ts在同族元素中非金属性最弱,中子数为176的T<sub>S</sub>核素符号是 <img src="/files/attach/files/content/2020/0325/1585132325.847.png"> Ts</img,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/db2a4a132d9385b812a01d74a599_3948273ex.png,85b812a01d74a599_3948273ex.png,,,,,,,,,,,,
某元素的原子最外层只有一个电子，它跟卤素原子结合时（ ）,一定形成共价键,可能是共价键，也可能是离子键,一定是离子键,以上说法都不对,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/f6f0d1cb938f514667e94af8a28f_4295550ex.png,514667e94af8a28f_4295550ex.png,,,,,,,,,,,,
根据某元素的核电荷数，推断不出原子的（ ）,原子序数,核外电子数,原子结构示意图,质量数,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0eea645e827fa02b870413f61bbd_4295864ex.png,a02b870413f61bbd_4295864ex.png,,,,,,,,,,,,
Y元素最高正价与负价的绝对值之差为4，Y元素与M元素可形成离子化合物，该物质能溶于水并在水中电离出电子层结构相同的离子，该化合物是（ ）,硫化钾,硫化钠,氯化钠,氧化铝,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/3b6a0093787c4090b5713b1951d4_3233192ex.png,4090b5713b1951d4_3233192ex.png,,,,,,,,,,,,
某元素的原子结构示意图为  ，有关该元素的说法中，错误的是（ ）,原子的核内质子数为17,原子的核外有3个电子层,原子的最外层电子数为7,属于金属元素,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/05ca4e626dc4f0e286d3b490c382_4295860ex.png,f0e286d3b490c382_4295860ex.png,,,,,,,,,,,,
原子通过得电子或失电子形成与Ar原子相同电子层结构的是（　　）,Li,Na,O,Cl,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c87f552b45d9fd33e7dadae3cd7a_5167021ex.png,fd33e7dadae3cd7a_5167021ex.png,,,,,,,,,,,,
下列说法中正确的是（ ）,非金属元素呈现的最高正化合价数值上等于该元素原子的最外层电子数,非金属元素呈现的最低负化合价，其绝对值等于该元素原子的最外层电子数,最外层有2个电子的原子都是金属原子,最外层有5个电子的原子都是非金属原子,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/37501136a1c456366814a6029c6d_4295838ex.png,56366814a6029c6d_4295838ex.png,,,,,,,,,,,,
A、B为两短周期元素，A元素原子的L层比B元素原子的L层少3个电子，B原子核外电子总数比A原子核外电子总数多5，则A和B形成的化合物的化学式为（ ）,A<sub>2</sub>B<sub>3</sub,BA<sub>2</sub,AB<sub>4</sub,B<sub>3</sub>A<sub>2</sub,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/4ea3161f4b2291d3481a4838818f_4295530ex.png,91d3481a4838818f_4295530ex.png,,,,,,,,,,,,
下列各组原子中,彼此化学性质一定相似的是（ ）,原子核外电子排布式为1s<sup>2</sup>的X原子与原子核外电子排布式为1s<sup>2</sup>2s<sup>2</sup>的Y原子,原子核外M层上仅有两个电子的X原子与原子核外N层上仅有两个电子的Y原子,2p轨道上有三个未成对的电子的X原子与3p轨道上有三个未成对的电子的Y原子,最外层都只有一个电子的X、Y原子,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/395f497026dfba8b1e2fb69f81b2_10657582ex.png,a8b1e2fb69f81b2_10657582ex.png,,,,,,,,,,,
下列各组原子中，彼此化学性质一定相似的是( ),原子核外电子排布式为1s<sup>2</sup>的X原子与原子核外电子排布式为1s<sup>2</sup>2s<sup>2</sup>的Y原子,2p轨道上只有2个电子的X原子与3p轨道上只有2个电子的Y原子,原子核外M层上仅有两个电子的X原子与原子核外N层上仅有两个电子的Y原子,最外层都只有一个电子的X、Y原子,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/3e96c2a81bfc6c5f2fb10d063068_10576420ex.png,c5f2fb10d063068_10576420ex.png,,,,,,,,,,,,
根据表中信息，下列叙述正确的是(　　)短周期元素代号LMQRT原子半径/nm0.1600.1430.0890.1040.066主要化合价＋2＋3＋2＋6，－2－2,氢化物的热稳定性：H<sub>2</sub>T<h<sub>2R</h<sub,单质与稀盐酸反应的速率：L<q< p=""> </q,离子半径：R<sup>2</sup><sup>－</sup><l<sup>2<sup>＋</sup></l<su,M与T形成的化合物既能与强酸反应，又能与强碱反应,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b97674416522663b14fa3df0655d_1477547ex.png,663b14fa3df0655d_1477547ex.png,,,,,,,,,,,,
北京大学和中国科学院的化学工作者合作，已成功研制出碱金属与C60的形成的球碳盐K3C60 ． 实验测知该物质属于离子晶体，具有良好的超导性．下列关于K3C60的组成和结构的分析中正确的是（ ）,K<sub>3</sub>C<sub>60</sub>的摩尔质量是837,1 mol K<sub>3</sub>C<sub>60</sub>中含有的离子数目为63×6.02×10<sup>23</su,该晶体在熔融状态下能导电,该物质的化学式可写为KC<sub>20</sub,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/434ca5eff0fba75206fff36dde41_3639188ex.png,a75206fff36dde41_3639188ex.png,,,,,,,,,,,,
几种单核微粒具有相同的核电荷数，则这几种微粒（ ）,一定互为同位素,一定是同种原子,一定属于同种元素,质量数一定相等,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/3ba5058a3c84e2033d66d2f52992_3504929ex.png,e2033d66d2f52992_3504929ex.png,,,,,,,,,,,,
X、Y、Z、W、R属于短周期主族元素．X的原子半径是短周期主族元素中最大的，Y元素的单质常通过分离液态空气得到，Z元素的单质是常见的半导体材料，W与Z同族，R与Y同族，其单质有杀菌作用． 下列叙述不正确的是（ ）,X与Y形成的两种化合物中阴、阳离子的个数比均为1：2，且均能与水反应,根据非金属性强弱，不可能由Z的最高价氧化物制出W的最高价氧化物,Y的简单氢化物的沸点和热稳定性均大于R的简单氢化物,向两份BaCl<sub>2</sub>溶液中分别通入RY<sub>2</sub>、WY<sub>2</sub>  ， 均无白色沉淀生成，但一段时间后，通入RY<sub>2</sub>的一份中可能产生沉淀,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/f49df0e4310276a41fdab5d481fe_3700410ex.png,76a41fdab5d481fe_3700410ex.png,,,,,,,,,,,,
下表是部分短周期元素的原子半径及主要化合价，根据表中信息，判断以下叙述正确的是（ ）  元素代号LMQRT原子半径/nm0.1600.1430.0890.1020.074主要化合价+2+3+2+6、﹣2﹣2,L<sup>2+</sup>与R<sup>2</sup><sup>﹣</sup>的核外电子数相等,M与T形成的化合物既能与强酸反应又能与强碱反应,氢化物的稳定性为H<sub>2</sub>T＜H<sub>2</sub>R,单质与浓度相等的稀盐酸反应的速率为Q＞L,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/8fdd26eddb98e6e585e259671341_3124724ex.png,e6e585e259671341_3124724ex.png,,,,,,,,,,,,
R+的结构示意图为  ，则R元素在元素周期表中位于（ ）,第三周期0族,第四周期IA族,第三周期IA族,第三周期VIIA族,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/24cd4a016d5fdaa5cde3e6b46729_3404784ex.png,daa5cde3e6b46729_3404784ex.png,,,,,,,,,,,,
下列氯元素含氧酸酸性最弱的是（ ）,HClO<sub>4</sub,HClO<sub>3</sub,HClO<sub>2</sub,HClO,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/9c11016b968d9737f96190dee82e_7129659ex.png,9737f96190dee82e_7129659ex.png,,,,,,,,,,,,
元素A原子的L电子层比元素B原子的L电子层少3个电子，B元素原子核外电子总数比A元素原子核外电子总数多5个，则A、B形成的化合物的化学式可能为（ ）,B<sub>2</sub>A<sub>3</sub,B<sub>3</sub>A<sub>2</sub,A<sub>2</sub>B<sub>3</sub,BA<sub>2</sub,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d776f6facea0654d668455edf282_4296068ex.png,654d668455edf282_4296068ex.png,,,,,,,,,,,,
原子序数依次增大的4种元素a、b、c、d，它们的原子核外L层电子数分别为5、6、8、8．c+的电子层结构与Ne的电子层结构相同，d﹣比c+多一个电子层．下列叙述正确的是（ ）,元素的非金属性：c＞b,a与b只能形成化合物ab和ab<sub>2</sub,c和其他3种元素均能形成离子化合物,c与d形成的化合物能促进水的电离,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/cc4f3214a16cf8035f9efde08ba7_4295906ex.png,f8035f9efde08ba7_4295906ex.png,,,,,,,,,,,,
某元素最高价氧化物对应水化物的分子式是H2RO4  ， 则其氢化物的分子式是（ ）,RH<sub>4</sub,RH<sub>3</sub,H<sub>2</sub>R,HR,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/68ad958b083543aad2c79f4b8ea5_4295902ex.png,43aad2c79f4b8ea5_4295902ex.png,,,,,,,,,,,,
短周期原子序数依次增大的主族元素R、T、Q、W、Y具有如下信息：下列说法正确的是（ ）  ①R、Y原子的最外层电子数与电子层数相同；②Q是地壳中含量最高的元素，R与T的核电荷数之和等于Q的核电荷数；③W与R同主族．,T、Q、W、Y的原子半径大小为：T＜Q＜Y＜W,Q与W形成的两种常见化合物中含有相同比例的阴、阳离子，属于同种晶体类型,Q与Y组成的常见物质是一种碱性氧化物,由Y和T组成的物质YT是原子晶体，在电子和陶瓷工业上有广泛应用，可以直接由单质Y和T在低温下合成,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0074ce3e5fa5d7c1695feae9ad6a_4295512ex.png,d7c1695feae9ad6a_4295512ex.png,,,,,,,,,,,,
已知短周期元素的离子aA2+、bB+、cC3﹣都具有相同的电子层结构，下列叙述正确的是（ ）,原子半径A＞B＞C,原子序数C＞B＞A,单质的还原性A＞B＞C,离子半径C＞B＞A,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/53e13e08d1aa6f9c8b588756e0ff_2737880ex.png,6f9c8b588756e0ff_2737880ex.png,,,,,,,,,,,,
某元素原子的核电荷数是电子层数的5倍，其质子数是最外层电子数的3倍，该元素的核电荷数为（ ）,11,15,17,34,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/8f3b199b3afad42326d5bb0417e3_4296074ex.png,d42326d5bb0417e3_4296074ex.png,,,,,,,,,,,,
A、B为短周期元素，二者可以组合成多种中学生所熟知的化合物．在这些化合物中，A与B的原子个数比为A：B=1：2．已知A的原子序数为n，B的原子序数是①n+2　②n+3　③n+4　④n+5　⑤n+8 ⑥n﹣5　⑦n﹣7　⑧n﹣8中的几种，其中不符合题目要求的是（ ）,①④,②⑧,③⑤,⑥⑦,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/e13dd423f3bf44e129ce31f3ccfb_4295892ex.png,44e129ce31f3ccfb_4295892ex.png,,,,,,,,,,,,
下列各组指定的元素，不能形成AB2型化合物的是（ ）,3s<sup>1</sup>和3s<sup>2</sup>3p<sup>4</su,3s<sup>2</sup>3p<sup>4</sup> 和2s<sup>2</sup>2p<sup>4</su,3s<sup>2</sup>和2s<sup>2</sup>2p<sup>5</su,2s<sup>2</sup>2p<sup>2</sup> 和2s<sup>2</sup>2p<sup>4</su,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/ba01dfd3c7277372774c8b7e5732_4295536ex.png,7372774c8b7e5732_4295536ex.png,,,,,,,,,,,,
下列表示物质结构的化学用语或说法中，正确的是（ ）,中子数为8的氮原子： <img src="/files/attach/files/content/2020/0325/1585132442.789.png"> N</img,次氯酸的电子式： <img alt="" height="39" src="/files/attach/files/content/2020/0325/9b0e0f3be1a52bddc49a4a2b10a1cc48.png" v:shapes="_x0000_i1093" width="82",PCl<sub>5</sub>分子的每个原子都满足8电子稳定结构,用电子式表示NaCl的形成过程： <img alt="" height="46" src="/files/attach/files/content/2020/0325/e0a1c525e1f328bba23bd106644e3bed.png" v:shapes="_x0000_i1092" width="203",D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/ea50f8efc3978a23f56add73da26_4292604ex.png,8a23f56add73da26_4292604ex.png,,,,,,,,,,,,
下列各组原子中，彼此化学性质一定相似的是（ ）,原子核外电子排布式为1s<sub>2</sub>的X原子与原子核外电子排布式为1s<sup>2</sup>2s<sub>2</sub>的Y原子,原子核外M层上仅有两个电子的X原子与原子核外N层上仅有两个电子的Y原子,最外层都只有一个电子的X、Y原子,2p轨道上有一个空轨道的X原子与3p轨道上有一个空轨道的Y原子,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/70e6875c0b93a5a2e82913335faa_7989539ex.png,a5a2e82913335faa_7989539ex.png,,,,,,,,,,,,
下列原子中第一电离能最大的是（ ）,Be,C,Al,Si,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/3b9c626e7dc0a46b45bd3f692382_4046110ex.png,a46b45bd3f692382_4046110ex.png,,,,,,,,,,,,
已知含氧酸可用通式XOm（OH）n来表示，如X是S，则m=2，n=2，则这个式子就表示H2SO4 ． 一般而言，该式中m大的是强酸，m小的是弱酸．下列各含氧酸中酸性最强的是（　　）,H<sub>2</sub>SeO<sub>3</sub,HMnO<sub>4</sub,H<sub>3</sub>BO<sub>3</sub,H<sub>3</sub>PO<sub>4</sub,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/487563b2a8b618cfa8e53a225b2f_2412931ex.png,18cfa8e53a225b2f_2412931ex.png,,,,,,,,,,,,
短周期元素A和B可形成AB2型化合物，若B原子序数为m，则A的原子序数为下面算式中的（ ）  ①m+6②m+8③m﹣2④m﹣1⑤m+4⑥m+14．,②③⑥,①②③④,①②⑥,①②③④⑤⑥,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5174deecbcff2a7af8e955a586df_4295866ex.png,2a7af8e955a586df_4295866ex.png,,,,,,,,,,,,
元素的化学性质主要取决于原子的（ ）,原子序数,核外电子数,核内中子数,最外层电子数,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/2b0766ab1825d828209f5a593e92_11855106ex.png,828209f5a593e92_11855106ex.png,,,,,,,,,,,,
下列四组物质中，两种分子不具有相同核外电子总数的是（ ）,H<sub>2</sub>O<sub>2</sub>和HCl,CO和NO,H<sub>2</sub>O和CH<sub>4</sub,H<sub>2</sub>S和F<sub>2</sub,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/295960cbf0be1dd62ebf7799b414_4295498ex.png,1dd62ebf7799b414_4295498ex.png,,,,,,,,,,,,
下列元素中，最高正化合价数值最大的是（ ）,C,S,F,Ne,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/1d3e3eb1387cc1b3dbe6a84c03e3_3123899ex.png,c1b3dbe6a84c03e3_3123899ex.png,,,,,,,,,,,,
下列元素中气态电中性基态原子的第一电离能最小的是（　　）,B,C,N,O,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/e9cd1d722ac7ecb3e976cd586432_4917566ex.png,ecb3e976cd586432_4917566ex.png,,,,,,,,,,,,
短周期元素X和元素Y位于不同的周期，元素X原子的最外层电子数为a，次外层电子数为b；元素Y原子的M层电子数为（a﹣b），L层电子数为（a+b），则关于X、Y两元素形成的化合物的说法正确的是（ ）,属于两性氧化物,能与氢氧化钠反应,能与硫酸反应,常温下能溶于水,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/44e3ded75272ed435338292ec87d_4296076ex.png,ed435338292ec87d_4296076ex.png,,,,,,,,,,,,
下列A、B两种元素的原子序数，其中可以组成A2B型离子化合物的是（ ）,6和8,19和16,17和12,1和8,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/585e2dfb8f7ea811bbffe0cbcfb0_4296070ex.png,a811bbffe0cbcfb0_4296070ex.png,,,,,,,,,,,,
短周期元素X、Y，X元素原子的最外层电子数与次外层电子数的差值等于电子层数；Y元素原子的最外层电子数比X元素原子的最外层电子数多2，则X与Y所形成的化合物的化学式为（ ）,X<sub>3</sub>Y<sub>2</sub,X<sub>2</sub>Y,X<sub>2</sub>Y<sub>5</sub,XY<sub>2</sub,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5e2c342f4e0a22703c6bf3870dce_4295890ex.png,22703c6bf3870dce_4295890ex.png,,,,,,,,,,,,
两种短周期元素X和Y，可以组成化合物XY3  ， 当Y的原子序数为m时，X的原子序数为：①m﹣4 ②m+4 ③m+8 ④m﹣2 ⑤m+7（ ）,①②④⑤,①②③⑤,①②③④,①②③④⑤,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/6034a62517b82cda1cc1a27965a4_4295874ex.png,2cda1cc1a27965a4_4295874ex.png,,,,,,,,,,,,
具有下列特征的原子一定是非金属元素的是（ ）,最外层电子数大于4,具有负化合价,最高价氧化物对应水化物是酸,具有可变化合价,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/29e1a8104876fdc641852341b872_4295556ex.png,fdc641852341b872_4295556ex.png,,,,,,,,,,,,
已知W、X、Y、Z为短周期元素，W、Z同主族，X、Y、Z同周期，W的气态氢化物的稳定性大于Z的气态氢化物的稳定性，X、Y为金属元素，X的阳离子的氧化性小于Y的阳离子的氧化性．下列说法正确的是（ ）,Z、Y、X、W的原子半径依次减小,W与X形成的化合物中只含离子键,W的气态氢化物的沸点一定高于Z的气态氢化物的沸点,若XYW组成的简单离子电子层结构相同，则W离子半径最大．,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/89726e0968c4c0dd79558a560659_4295872ex.png,c0dd79558a560659_4295872ex.png,,,,,,,,,,,,
AB属于离子型化合物，其中A离子和B离子的电子层结构不同，从原子的最外层电子数看A比B少4，而次外层电子数A比B多6，则该离子化合物是（ ）,MgO,CaO,KCl,MgS,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b91cbeeaa9c74dc1832bc0375bb8_4295484ex.png,4dc1832bc0375bb8_4295484ex.png,,,,,,,,,,,,
短周期元素X的最高价氧化物的化学式为XO3  ， 则X的氢化物的化学式为（ ）,HX,H<sub>2</sub>X,XH<sub>3</sub,XH<sub>4</sub,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/7538f60011dc35cf770bb0a7f3ac_4295850ex.png,35cf770bb0a7f3ac_4295850ex.png,,,,,,,,,,,,
元素X、Y可组成化学式为XY2的离子化合物，则X、Y的原子序数可能是（ ）,11和16,6和8,12和17,20和8,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/88579cd4f657f0476abc6e318482_4220156ex.png,f0476abc6e318482_4220156ex.png,,,,,,,,,,,,
下列微粒中，与OH﹣ 具有相同的质子数和相同的电子数的是（ ）,NH<sub>2</sub><sup>﹣</su,Cl,NH<sub>3</sub,Na<sup>+</su,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a8bf13cbf24276c587e1d17f1e64_4295504ex.png,76c587e1d17f1e64_4295504ex.png,,,,,,,,,,,,
下列各组元素按电负性大小排列正确的是（　　）,F＞N＞O,O＞Cl＞F,As＞P＞H,Cl＞S＞As,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/faba4afc305cee90fb4c2ecdb1d0_6277647ex.png,ee90fb4c2ecdb1d0_6277647ex.png,,,,,,,,,,,,
下列说法正确的是（ ）,MgF<sub>2</sub>中的两种离子核外排布相差一个电子层,石英和硫磺晶体熔化时克服相同类型的微粒间作用力,发生物理变化时物质中的化学键也可能被破坏,H<sub>2</sub>O和H<sub>2</sub>O<sub>2</sub>的稳定性不同是因为微粒间作用力不同,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0e91ed183ce8805ca934ac4546da_11292590ex.png,05ca934ac4546da_11292590ex.png,,,,,,,,,,,,
下列说法错误的是（ ）,燃着的酒精灯打翻，立即用湿抹布盖灭,氯气泄漏时用蘸有NaOH溶液的毛巾捂住口鼻,镁着火时，立即用沙子灭火,水银洒到地面上，撒硫粉处理,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/ffa2169050e95cd18441d4746641_11292576ex.png,cd18441d4746641_11292576ex.png,,,,,,,,,,,,
元素X和Y的原子序数都小于18，两者能组成化合物XY3 ． 已知X的原子序数为n，则Y 的原子序数不可能是（ ）,n+3,n+4,n﹣6,n﹣8,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/365ae751aff3a7d08f2c05a81a52_4295856ex.png,a7d08f2c05a81a52_4295856ex.png,,,,,,,,,,,,
X和Y均为短周期元素，已知aXn﹣比bYm+多两个电子层，则下列说法正确的是（ ）,b＞5,X只能位于第三周期,a+n﹣b+m=10或16,Y不可能位于第二周期,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/04ad05e6b3d6cf4210dee62f800b_4295518ex.png,cf4210dee62f800b_4295518ex.png,,,,,,,,,,,,
下列关于物质结构的说法中正确的是（ ）,BF<sub>3</sub>、HClO分子中所有原子都满足最外层8电子结构,某元素原子最外层电子数是次外层电子数的a（a为整数）倍，则该原子核内质子数为2a+2,D<sub>2</sub>O分子与H<sub>2</sub>O分子是所含电子总数不相等的分子,在任何物质分子中都含有化学键,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/df6a4d7b49ec9efba4da88afcfcd_4295852ex.png,9efba4da88afcfcd_4295852ex.png,,,,,,,,,,,,
已知298K时，2SO2（g）+O2（g）2SO3（g）△H=﹣197kJmol﹣1 ． 在同一温度和压强下，向某密闭容器中通入2mol SO2和1mol O2达到平衡时，反应放出的热量为Q1  ， 向另一相同的密闭容器中通入1mol SO2和0.5mol O2  ， 达到平衡时放出的热量为Q2 ． 下列关系正确的是（ ）,Q<sub>2</sub>= <img src="/files/attach/files/content/2020/0325/1585132039.109.png",Q<sub>2</sub>＜ <img src="/files/attach/files/content/2020/0325/1585132039.109.png"/> =197 kJ,Q<sub>2</sub>＜Q<sub>1</sub>＜197 kJ,Q<sub>1</sub>=Q<sub>2</sub>=197 kJ,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/e1b60b56cadedc80ee5c1b45681a_3500260ex.png,dc80ee5c1b45681a_3500260ex.png,,,,,,,,,,,,
已知：(1)胆矾失水的热化学方程式为：CuSO4·5H2O(s)===CuSO4(s)＋5H2O(l)　ΔH＝＋Q1kJ/mol(2)室温下，无水硫酸铜溶于水的热化学方程式为：CuSO4(s)===Cu2＋(aq)＋SO42- (aq)　ΔH＝－Q2 kJ·mol－1(3)胆矾(CuSO4·5H2O)溶于水时溶液温度降低。则Q1与Q2的关系是(Q1、Q2为正数)（ ）,i>Q</i><sub>1</sub>&gt;<i>Q</i><sub>2</sub,i>Q</i><sub>1</sub>＝<i>Q </i><sub>2</sub,i>Q</i><sub>1</sub>&lt;<i>Q</i><sub>2</sub,无法确定,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a58a8aac8120656265028acac254_871878ex.png,0656265028acac254_871878ex.png,,,,,,,,,,,,
